YYYYMMDD	   TG	    Q	   RH
20170422	78	1524	6
20170423	66	1366	1
20170424	93	958	27
20170425	59	1824	20
20170426	50	1821	3
20170427	61	1905	2
20170428	76	1324	19
20170429	76	1829	-1
20170430	123	2347	0
20170501	117	872	9
20170502	100	925	47
20170503	107	842	35
20170504	104	1453	-1
20170505	89	702	-1
20170506	128	2430	0
20170507	117	1233	0
20170508	97	1449	-1
20170509	80	1791	0
20170510	90	2393	0
20170511	154	2408	3
20170512	155	1248	125
20170513	140	1250	100
20170514	134	1792	19
20170515	149	2345	-1
20170516	204	1521	-1
20170517	223	2291	0
20170518	165	1128	3
20170519	136	822	1
20170520	125	2101	12
20170521	144	2230	0
20170522	176	2615	0
20170523	161	2560	0
20170524	159	2171	0
20170525	174	2832	0
20170526	203	2898	0
20170527	229	2826	0
20170528	205	2612	0
20170529	219	2279	3
20170530	183	1517	0
20170531	174	2231	0
20170601	166	2927	0
20170602	198	2274	0
20170603	184	1790	21
20170604	154	2386	0
20170605	171	2048	0
20170606	141	1034	105
20170607	140	1051	51
20170608	168	1770	3
20170609	165	1619	212
20170610	178	2418	0
20170611	199	1965	-1
20170612	161	939	-1
20170613	163	2103	0
20170614	174	2995	0
20170615	200	2538	0
20170616	162	1332	0
20170617	186	1659	0
20170618	208	2607	0
20170619	236	2883	0
20170620	216	2392	0
20170621	214	2643	0
20170622	229	2226	13
20170623	196	2113	0
20170624	171	371	55
20170625	175	815	46
20170626	168	2441	0
20170627	173	1624	28
20170628	180	613	31
20170629	175	1276	1
20170630	162	1062	42
20170701	161	874	69
20170702	156	1654	6
20170703	166	1956	10
20170704	186	2048	-1
20170705	190	1919	0
20170706	199	2191	170
20170707	206	2189	-1
20170708	186	1570	-1
20170709	172	2711	0
20170710	196	1948	1
20170711	177	1095	33
20170712	149	1085	268
20170713	146	1763	0
20170714	142	1396	176
20170715	172	1550	-1
20170716	186	931	12
20170717	186	2859	-1
20170718	199	2623	0
20170719	235	1972	1
20170720	191	1394	210
20170721	182	2746	0
20170722	194	1888	35
20170723	160	1429	112
20170724	161	2152	25
20170725	167	1229	83
20170726	190	2221	1
20170727	185	1676	-1
20170728	172	1490	17
20170729	182	808	76
20170730	188	1761	14
20170731	181	1827	-1
20170801	178	1409	0
20170802	176	1286	30
20170803	190	1635	17
20170804	183	1948	6
20170805	159	1360	18
20170806	158	1869	0
20170807	168	2334	0
20170808	162	520	65
20170809	167	1736	-1
20170810	157	952	24
20170811	167	1631	2
20170812	168	1060	44
20170813	162	1860	0
20170814	179	2118	0
20170815	179	751	15
20170816	176	1584	0
20170817	173	519	23
20170818	169	882	62
20170819	154	1446	104
20170820	158	1816	-1
20170821	159	1034	0
20170822	182	1942	0
20170823	196	1786	0
20170824	179	1360	-1
20170825	169	1891	0
20170826	182	1739	0
20170827	178	1871	0
20170828	187	1958	0
20170829	210	1687	15
20170830	178	530	88
20170831	144	1336	20
20170901	147	1193	3
20170902	133	1519	0
20170903	130	1493	0
20170904	158	1585	0
20170905	186	795	6
20170906	159	1107	37
20170907	156	850	28
20170908	151	268	172
20170909	132	979	125
20170910	139	1254	9
20170911	141	921	95
20170912	146	1522	1
20170913	141	1243	125
20170914	117	647	207
20170915	125	1165	41
20170916	106	546	139
20170917	108	1274	-1
20170918	120	1081	8
20170919	120	1052	-1
20170920	135	841	6
20170921	134	1277	0
20170922	119	784	8
20170923	109	1422	0
20170924	121	1408	0
20170925	142	766	0
20170926	132	792	0
20170927	136	1108	0
20170928	158	652	11
20170929	171	1018	166
20170930	131	296	24
20171001	141	727	-1
20171002	156	648	6
20171003	136	906	16
20171004	130	542	28
20171005	129	802	252
20171006	116	912	32
20171007	122	204	159
20171008	121	604	1
20171009	121	138	104
20171010	143	360	3
20171011	148	413	2
20171012	134	809	2
20171013	153	512	0
20171014	148	995	0
20171015	158	1004	0
20171016	186	881	0
20171017	129	382	0
20171018	137	827	0
20171019	157	798	-1
20171020	137	330	73
20171021	132	581	5
20171022	108	461	132
20171023	126	580	1
20171024	153	152	8
20171025	142	302	-1
20171026	140	522	0
20171027	118	685	4
20171028	124	227	16
20171029	107	593	10
20171030	83	665	-1
20171031	101	208	-1
20171101	112	290	0
20171102	98	419	-1
20171103	88	255	5
20171104	106	430	30
20171105	78	413	48
20171106	48	596	4
20171107	33	663	0
20171108	59	151	0
20171109	87	357	14
20171110	92	316	29
20171111	66	202	37
20171112	52	191	74
20171113	62	529	13
20171114	77	217	4
20171115	94	107	23
20171116	93	78	18
20171117	56	423	0
20171118	69	217	50
20171119	67	419	19
20171120	78	63	97
20171121	115	51	13
20171122	114	340	13
20171123	111	142	8
20171124	69	241	16
20171125	37	256	2
20171126	53	334	57
20171127	67	75	152
20171128	54	220	9
20171129	29	107	1
20171130	15	202	6
20171201	0	171	-1
20171202	-4	127	-1
20171203	37	87	20
20171204	70	159	25
20171205	76	78	0
20171206	80	97	0
20171207	59	41	78
