# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.,,,,
# ,,,,
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI),,,,
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.,,,,
# ,,,,
# STN         LON(east)   LAT(north)  ALT(m)      NAME,,,,
# 275         5.873       52.056      48.20       Deelen      ,,,,
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius),,,,
# Q         : Globale straling (in J/cm2) / Global radiation (in J/cm2),,,,
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm),,,,
# STN,YYYYMMDD,   TG,    Q,   RH
275,19950924,136,894,8
275,19950925,131,1131,-1
275,19950926,128,148,174
275,19950927,107,580,133
275,19950928,68,808,15
275,19950929,86,925,44
275,19950930,83,557,27
275,19951001,112,269,29
275,19951002,123,1041,0
275,19951003,148,558,2
275,19951004,174,1028,92
275,19951005,137,431,12
275,19951006,133,1216,0
275,19951007,156,397,8
275,19951008,168,1118,0
275,19951009,166,1056,0
275,19951010,159,1012,0
275,19951011,158,682,0
275,19951012,149,509,-1
275,19951013,141,364,0
275,19951014,138,880,-1
275,19951015,153,820,-1
275,19951016,139,519,0
275,19951017,142,758,8
275,19951018,124,499,-1
275,19951019,119,568,0
275,19951020,98,182,6
275,19951021,55,621,0
275,19951022,66,874,0
275,19951023,98,841,0
275,19951024,141,831,0
275,19951025,131,592,-1
275,19951026,123,437,6
275,19951027,138,123,28
275,19951028,75,593,0
275,19951029,67,790,0
275,19951030,42,659,0
275,19951031,63,659,11
275,19951101,79,155,3
275,19951102,66,578,-1
275,19951103,61,409,11
275,19951104,0,751,-1
275,19951105,-16,713,0
275,19951106,8,481,0
275,19951107,48,63,12
275,19951108,83,90,18
275,19951109,104,134,15
275,19951110,79,291,-1
275,19951111,114,381,0
275,19951112,100,425,0
275,19951113,57,488,-1
275,19951114,92,188,2
275,19951115,86,74,27
275,19951116,90,158,27
275,19951117,27,319,6
275,19951118,20,488,13
275,19951119,56,323,136
275,19951120,26,499,0
275,19951121,13,449,0
275,19951122,50,216,-1
275,19951123,91,210,-1
275,19951124,90,174,0
275,19951125,83,435,0
275,19951126,75,307,-1
275,19951127,62,175,15
275,19951128,67,175,15
275,19951129,41,69,-1
275,19951130,23,110,-1
275,19951201,13,75,0
275,19951202,16,72,-1
275,19951203,3,127,0
275,19951204,-11,217,0
